id,question,choice_a,choice_b,choice_c,choice_d,answer,category,explanation
67,記紀神話を構成する2つの書物の組み合わせとして正しいものはどれか,『万葉集』と『風土記』,『古事記』と『日本書紀』,『源氏物語』と『枕草子』,『延喜式』と『令義解』,B,神道,A：『万葉集』と『風土記』（誤り。別の宗教・概念・数値・特徴を指す。） / B：『古事記』と『日本書紀』（正解。この設問の条件に合致する。） / C：『源氏物語』と『枕草子』（誤り。別の宗教・概念・数値・特徴を指す。） / D：『延喜式』と『令義解』（誤り。別の宗教・概念・数値・特徴を指す。）
68,廃仏毀釈が行われた時期として正しいものはどれか,奈良時代,平安時代,鎌倉時代,明治時代,D,神道,A：奈良時代（誤り。別の宗教・概念・数値・特徴を指す。） / B：平安時代（誤り。別の宗教・概念・数値・特徴を指す。） / C：鎌倉時代（誤り。別の宗教・概念・数値・特徴を指す。） / D：明治時代（正解。この設問の条件に合致する。）
69,「神」への考え方として仏教に最も近いものはどれか,人格神への絶対的信仰,創造神の存在を前提とする,神の存在を教義の中心に置かない,民族神を崇拝する,C,日本仏教の宗派,A：人格神への絶対的信仰（誤り。別の宗教・概念・数値・特徴を指す。） / B：創造神の存在を前提とする（誤り。別の宗教・概念・数値・特徴を指す。） / C：神の存在を教義の中心に置かない（正解。この設問の条件に合致する。） / D：民族神を崇拝する（誤り。別の宗教・概念・数値・特徴を指す。）
70,密教的儀礼を重視する宗派の組み合わせとして正しいものはどれか,浄土宗と浄土真宗,天台宗と真言宗,曹洞宗と臨済宗,日蓮宗と法華宗,B,日本仏教の宗派,A：浄土宗と浄土真宗（誤り。別の宗教・概念・数値・特徴を指す。） / B：天台宗と真言宗（正解。この設問の条件に合致する。） / C：曹洞宗と臨済宗（誤り。別の宗教・概念・数値・特徴を指す。） / D：日蓮宗と法華宗（誤り。別の宗教・概念・数値・特徴を指す。）
71,坐禅と公案（修行者の悟りを導く問答）を重視する禅宗の宗派の組み合わせとして正しいものはどれか,天台宗と真言宗,浄土宗と浄土真宗,曹洞宗と臨済宗,日蓮宗と時宗,C,日本仏教の宗派,A：天台宗と真言宗（誤り。別の宗教・概念・数値・特徴を指す。） / B：浄土宗と浄土真宗（誤り。別の宗教・概念・数値・特徴を指す。） / C：曹洞宗と臨済宗（正解。この設問の条件に合致する。） / D：日蓮宗と時宗（誤り。別の宗教・概念・数値・特徴を指す。）
72,「南無阿弥陀仏」と念仏を唱えて極楽往生を目指す宗派の組み合わせとして正しいものはどれか,曹洞宗と臨済宗,天台宗と真言宗,浄土宗と浄土真宗,日蓮宗と法華宗,C,日本仏教の宗派,A：曹洞宗と臨済宗（誤り。別の宗教・概念・数値・特徴を指す。） / B：天台宗と真言宗（誤り。別の宗教・概念・数値・特徴を指す。） / C：浄土宗と浄土真宗（正解。この設問の条件に合致する。） / D：日蓮宗と法華宗（誤り。別の宗教・概念・数値・特徴を指す。）
73,「南無妙法蓮華経」とお題目を唱え国家との結びつきを重視する宗派はどれか,浄土宗,真言宗,曹洞宗,日蓮宗,D,日本仏教の宗派,A：浄土宗（誤り。別の宗教・概念・数値・特徴を指す。） / B：真言宗（誤り。別の宗教・概念・数値・特徴を指す。） / C：曹洞宗（誤り。別の宗教・概念・数値・特徴を指す。） / D：日蓮宗（正解。この設問の条件に合致する。）
74,真言宗の開祖と総本山の組み合わせとして正しいものはどれか,最澄 - 比叡山延暦寺,空海 - 高野山金剛峯寺,法然 - 知恩院,親鸞 - 西本願寺,B,日本仏教の宗派,A：最澄 - 比叡山延暦寺（誤り。別の宗教・概念・数値・特徴を指す。） / B：空海 - 高野山金剛峯寺（正解。この設問の条件に合致する。） / C：法然 - 知恩院（誤り。別の宗教・概念・数値・特徴を指す。） / D：親鸞 - 西本願寺（誤り。別の宗教・概念・数値・特徴を指す。）
75,神仏習合とは何を指すか,神道を廃止し仏教を国教とすること,神と仏を同一視・融合する考え方,神道と仏教を厳密に分離する政策,神道が仏教を排除する運動,B,神仏習合・分離,A：神道を廃止し仏教を国教とすること（誤り。別の宗教・概念・数値・特徴を指す。） / B：神と仏を同一視・融合する考え方（正解。この設問の条件に合致する。） / C：神道と仏教を厳密に分離する政策（誤り。別の宗教・概念・数値・特徴を指す。） / D：神道が仏教を排除する運動（誤り。別の宗教・概念・数値・特徴を指す。）
76,6世紀に仏像や経典を日本に送った国はどこか,中国（唐）,百済,新羅,高句麗,B,神仏習合・分離,A：中国（唐）（誤り。別の宗教・概念・数値・特徴を指す。） / B：百済（正解。この設問の条件に合致する。） / C：新羅（誤り。別の宗教・概念・数値・特徴を指す。） / D：高句麗（誤り。別の宗教・概念・数値・特徴を指す。）
77,8世紀初頭神のために神社に付属して建てられた寺院を何というか,本山,末寺,神宮寺,菩提寺,C,神仏習合・分離,A：本山（誤り。別の宗教・概念・数値・特徴を指す。） / B：末寺（誤り。別の宗教・概念・数値・特徴を指す。） / C：神宮寺（正解。この設問の条件に合致する。） / D：菩提寺（誤り。別の宗教・概念・数値・特徴を指す。）
78,仏・菩薩が人々を救済するために「神」の姿として現れるという10世紀に広まった思想を何というか,神仏習合,本地垂迹,廃仏毀釈,神仏分離,B,神仏習合・分離,A：神仏習合（誤り。別の宗教・概念・数値・特徴を指す。） / B：本地垂迹（正解。この設問の条件に合致する。） / C：廃仏毀釈（誤り。別の宗教・概念・数値・特徴を指す。） / D：神仏分離（誤り。別の宗教・概念・数値・特徴を指す。）
79,江戸時代中期に盛んになり神仏習合していない神道本来の姿を追求した学問は何か,蘭学,儒学,国学,洋学,C,神仏習合・分離,A：蘭学（誤り。別の宗教・概念・数値・特徴を指す。） / B：儒学（誤り。別の宗教・概念・数値・特徴を指す。） / C：国学（正解。この設問の条件に合致する。） / D：洋学（誤り。別の宗教・概念・数値・特徴を指す。）
80,1868年に明治政府が発した仏教色を排除し神仏分離を進める政策は何か,禁教令,神仏判然令,伴天連追放令,宗門改制度,B,神仏習合・分離,A：禁教令（誤り。別の宗教・概念・数値・特徴を指す。） / B：神仏判然令（正解。この設問の条件に合致する。） / C：伴天連追放令（誤り。別の宗教・概念・数値・特徴を指す。） / D：宗門改制度（誤り。別の宗教・概念・数値・特徴を指す。）
81,神仏分離令の結果政府の意図に反して起こった仏教排斥運動を何というか,廃仏毀釈,島原の乱,本地垂迹,神仏習合,A,神仏習合・分離,A：廃仏毀釈（正解。この設問の条件に合致する。） / B：島原の乱（誤り。別の宗教・概念・数値・特徴を指す。） / C：本地垂迹（誤り。別の宗教・概念・数値・特徴を指す。） / D：神仏習合（誤り。別の宗教・概念・数値・特徴を指す。）
82,1549年に日本に上陸し薩摩で伝道を行ったイエズス会の宣教師は誰か,ルイス・フロイス,フランシスコ・ザビエル,ヴァリニャーノ,オルガンティーノ,B,キリスト教伝来,A：ルイス・フロイス（誤り。別の宗教・概念・数値・特徴を指す。） / B：フランシスコ・ザビエル（正解。この設問の条件に合致する。） / C：ヴァリニャーノ（誤り。別の宗教・概念・数値・特徴を指す。） / D：オルガンティーノ（誤り。別の宗教・概念・数値・特徴を指す。）
83,1587年にキリスト教宣教師の国外追放を命じた法令を発したのは誰か,織田信長,豊臣秀吉,徳川家康,徳川家光,B,キリスト教伝来,A：織田信長（誤り。別の宗教・概念・数値・特徴を指す。） / B：豊臣秀吉（正解。この設問の条件に合致する。） / C：徳川家康（誤り。別の宗教・概念・数値・特徴を指す。） / D：徳川家光（誤り。別の宗教・概念・数値・特徴を指す。）
84,1629年から長崎でキリスト教信者を摘発するために用いられた方法は何か,宗門改,踏み絵,檀家制度,本末制度,B,キリスト教伝来,A：宗門改（誤り。別の宗教・概念・数値・特徴を指す。） / B：踏み絵（正解。この設問の条件に合致する。） / C：檀家制度（誤り。別の宗教・概念・数値・特徴を指す。） / D：本末制度（誤り。別の宗教・概念・数値・特徴を指す。）
85,檀家制度の説明として最も適切なものはどれか,神社と地域住民の関係を制度化したものである,仏教寺院と信徒（家）との間の帰属関係を定めた制度である,国家が僧侶を直接管理するための制度である,宗派間の対立を調停するために設けられた制度である,B,檀家制度,A：神社と地域住民の関係を制度化したものである（誤り。別の宗教・概念・数値・特徴を指す。） / B：仏教寺院と信徒（家）との間の帰属関係を定めた制度である（正解。この設問の条件に合致する。） / C：国家が僧侶を直接管理するための制度である（誤り。別の宗教・概念・数値・特徴を指す。） / D：宗派間の対立を調停するために設けられた制度である（誤り。別の宗教・概念・数値・特徴を指す。）
86,檀家制度が全国的に確立した主な歴史的背景として正しいものはどれか,平安時代の仏教文化の発展,鎌倉仏教による民衆布教の拡大,江戸時代におけるキリスト教禁制政策,明治時代の神仏分離政策,C,檀家制度,A：平安時代の仏教文化の発展（誤り。別の宗教・概念・数値・特徴を指す。） / B：鎌倉仏教による民衆布教の拡大（誤り。別の宗教・概念・数値・特徴を指す。） / C：江戸時代におけるキリスト教禁制政策（正解。この設問の条件に合致する。） / D：明治時代の神仏分離政策（誤り。別の宗教・概念・数値・特徴を指す。）
87,檀家制度の機能として適切でないものはどれか,寺院の経済的基盤の維持,葬儀や先祖供養を通じた仏教の定着,キリスト教信者の摘発と監視,仏教教義の体系的教育の義務化,D,檀家制度,A：寺院の経済的基盤の維持（誤り。別の宗教・概念・数値・特徴を指す。） / B：葬儀や先祖供養を通じた仏教の定着（誤り。別の宗教・概念・数値・特徴を指す。） / C：キリスト教信者の摘発と監視（誤り。別の宗教・概念・数値・特徴を指す。） / D：仏教教義の体系的教育の義務化（正解。この設問の条件に合致する。）
88,檀家制度において寺院が特定の家に対して永続的に担当する役割として正しいものはどれか,政治的助言,葬祭・供養・法事,軍事的保護,経済的投資,B,檀家制度,A：政治的助言（誤り。別の宗教・概念・数値・特徴を指す。） / B：葬祭・供養・法事（正解。この設問の条件に合致する。） / C：軍事的保護（誤り。別の宗教・概念・数値・特徴を指す。） / D：経済的投資（誤り。別の宗教・概念・数値・特徴を指す。）
89,キリスト教徒ではないことを証明するため必ず寺院の檀家になることを求めた制度は何か,本末制度,宗門改制度,神仏判然令,禁教令,B,檀家制度,A：本末制度（誤り。別の宗教・概念・数値・特徴を指す。） / B：宗門改制度（正解。この設問の条件に合致する。） / C：神仏判然令（誤り。別の宗教・概念・数値・特徴を指す。） / D：禁教令（誤り。別の宗教・概念・数値・特徴を指す。）
90,仏教各宗の寺院を本山から末寺までピラミッド構造で編成した江戸幕府の統制制度は何か,檀家制度,宗門改制度,本末制度,寺社奉行制度,C,檀家制度,A：檀家制度（誤り。別の宗教・概念・数値・特徴を指す。） / B：宗門改制度（誤り。別の宗教・概念・数値・特徴を指す。） / C：本末制度（正解。この設問の条件に合致する。） / D：寺社奉行制度（誤り。別の宗教・概念・数値・特徴を指す。）
91,檀家制度の広がりによって仏教が葬儀と深く結びついたことを仏教史学者の圭室諦成は何と称したか,鎌倉仏教,葬式仏教,国家仏教,民衆仏教,B,檀家制度,A：鎌倉仏教（誤り。別の宗教・概念・数値・特徴を指す。） / B：葬式仏教（正解。この設問の条件に合致する。） / C：国家仏教（誤り。別の宗教・概念・数値・特徴を指す。） / D：民衆仏教（誤り。別の宗教・概念・数値・特徴を指す。）
92,近世後期から幕末維新期に民衆の間に現れた新宗教に含まれないものはどれか,天理教,金光教,真言宗,黒住教,C,新宗教,A：天理教（誤り。別の宗教・概念・数値・特徴を指す。） / B：金光教（誤り。別の宗教・概念・数値・特徴を指す。） / C：真言宗（正解。この設問の条件に合致する。） / D：黒住教（誤り。別の宗教・概念・数値・特徴を指す。）
93,東アジアで祖先崇拝（先祖祭祀）が広く見られる地域の組み合わせとして正しいものはどれか,インドと中東,東アジアと東南アジア,ヨーロッパとアフリカ,南米とオセアニア,B,新宗教,A：インドと中東（誤り。別の宗教・概念・数値・特徴を指す。） / B：東アジアと東南アジア（正解。この設問の条件に合致する。） / C：ヨーロッパとアフリカ（誤り。別の宗教・概念・数値・特徴を指す。） / D：南米とオセアニア（誤り。別の宗教・概念・数値・特徴を指す。）
94,ユダヤ教・キリスト教・イスラームに共通する特徴として正しいものはどれか,多神信仰,輪廻転生,唯一神信仰,自然神崇拝,C,複合問題,A：多神信仰（誤り。別の宗教・概念・数値・特徴を指す。） / B：輪廻転生（誤り。別の宗教・概念・数値・特徴を指す。） / C：唯一神信仰（正解。この設問の条件に合致する。） / D：自然神崇拝（誤り。別の宗教・概念・数値・特徴を指す。）
95,ユダヤ教・キリスト教・イスラームの三宗教に共通しヒンドゥー教・仏教・神道には当てはまらない特徴として正しいものはどれか,輪廻転生を説く,唯一神との契約を重視する,多神的世界観をもつ,自然物を神格化する,B,複合問題,A：輪廻転生を説く（誤り。別の宗教・概念・数値・特徴を指す。） / B：唯一神との契約を重視する（正解。この設問の条件に合致する。） / C：多神的世界観をもつ（誤り。別の宗教・概念・数値・特徴を指す。） / D：自然物を神格化する（誤り。別の宗教・概念・数値・特徴を指す。）
96,次の組み合わせのうち対応が正しいものはどれか,クルアーン ― キリスト教,ヴェーダ ― 仏教,旧約聖書 ― ユダヤ教,福音書 ― イスラーム,C,複合問題,A：クルアーン ― キリスト教（誤り。別の宗教・概念・数値・特徴を指す。） / B：ヴェーダ ― 仏教（誤り。別の宗教・概念・数値・特徴を指す。） / C：旧約聖書 ― ユダヤ教（正解。この設問の条件に合致する。） / D：福音書 ― イスラーム（誤り。別の宗教・概念・数値・特徴を指す。）
97,「開祖が明確に存在しない宗教」の組み合わせとして正しいものはどれか,ユダヤ教・ヒンドゥー教,キリスト教・仏教,イスラーム・神道,仏教・キリスト教,A,複合問題,A：ユダヤ教・ヒンドゥー教（正解。この設問の条件に合致する。） / B：キリスト教・仏教（誤り。別の宗教・概念・数値・特徴を指す。） / C：イスラーム・神道（誤り。別の宗教・概念・数値・特徴を指す。） / D：仏教・キリスト教（誤り。別の宗教・概念・数値・特徴を指す。）
98,戒律や生活規範が食文化と強く結びついている宗教の組み合わせはどれか,仏教・神道,ユダヤ教・イスラーム,キリスト教・仏教,ヒンドゥー教・神道,B,複合問題,A：仏教・神道（誤り。別の宗教・概念・数値・特徴を指す。） / B：ユダヤ教・イスラーム（正解。この設問の条件に合致する。） / C：キリスト教・仏教（誤り。別の宗教・概念・数値・特徴を指す。） / D：ヒンドゥー教・神道（誤り。別の宗教・概念・数値・特徴を指す。）
99,宗教とその「死後観・解脱観」の対応として正しいものはどれか,仏教 ― 最終審判,キリスト教 ― 輪廻転生,イスラーム ― 来世での裁き,神道 ― 般涅槃,C,複合問題,A：仏教 ― 最終審判（誤り。別の宗教・概念・数値・特徴を指す。） / B：キリスト教 ― 輪廻転生（誤り。別の宗教・概念・数値・特徴を指す。） / C：イスラーム ― 来世での裁き（正解。この設問の条件に合致する。） / D：神道 ― 般涅槃（誤り。別の宗教・概念・数値・特徴を指す。）
100,「神」という概念の扱いについて最も適切な組み合わせはどれか,仏教 ― 創造神を中心に据える,神道 ― 人格的唯一神を信仰する,キリスト教 ― 三位一体の唯一神,ヒンドゥー教 ― 神の存在を否定する,C,複合問題,A：仏教 ― 創造神を中心に据える（誤り。別の宗教・概念・数値・特徴を指す。） / B：神道 ― 人格的唯一神を信仰する（誤り。別の宗教・概念・数値・特徴を指す。） / C：キリスト教 ― 三位一体の唯一神（正解。この設問の条件に合致する。） / D：ヒンドゥー教 ― 神の存在を否定する（誤り。別の宗教・概念・数値・特徴を指す。）
101,宗派区分と宗教の対応として正しいものはどれか,スンニ派・シーア派 ― キリスト教,大乗仏教・上座仏教 ― 仏教,カトリック・正教会 ― イスラーム,プロテスタント・ヒンドゥー教,B,複合問題,A：スンニ派・シーア派 ― キリスト教（誤り。別の宗教・概念・数値・特徴を指す。） / B：大乗仏教・上座仏教 ― 仏教（正解。この設問の条件に合致する。） / C：カトリック・正教会 ― イスラーム（誤り。別の宗教・概念・数値・特徴を指す。） / D：プロテスタント・ヒンドゥー教（誤り。別の宗教・概念・数値・特徴を指す。）
102,日本の宗教文化の特徴として仏教・神道の双方に関わる概念として正しいものはどれか,輪廻転生の否定,神仏習合,唯一神信仰,五行の実践,B,複合問題,A：輪廻転生の否定（誤り。別の宗教・概念・数値・特徴を指す。） / B：神仏習合（正解。この設問の条件に合致する。） / C：唯一神信仰（誤り。別の宗教・概念・数値・特徴を指す。） / D：五行の実践（誤り。別の宗教・概念・数値・特徴を指す。）
103,「民族宗教」としての性格が最も強いものはどれか,キリスト教,イスラーム,ユダヤ教,仏教,C,複合問題,A：キリスト教（誤り。別の宗教・概念・数値・特徴を指す。） / B：イスラーム（誤り。別の宗教・概念・数値・特徴を指す。） / C：ユダヤ教（正解。この設問の条件に合致する。） / D：仏教（誤り。別の宗教・概念・数値・特徴を指す。）
104,1970年代の日本におけるオカルトブームのきっかけとなった1974年に日本で上映されたアメリカ映画はどれか,ゴーストバスターズ,エクソシスト,オーメン,シャイニング,B,オカルト・スピリチュアリティ,A：ゴーストバスターズ（誤り。別の宗教・概念・数値・特徴を指す。） / B：エクソシスト（正解。この設問の条件に合致する。） / C：オーメン（誤り。別の宗教・概念・数値・特徴を指す。） / D：シャイニング（誤り。別の宗教・概念・数値・特徴を指す。）
105,1974年に来日しテレビ番組でスプーン曲げを披露して超能力ブームを引き起こした人物は誰か,エドガー・ケイシー,ユリ・ゲラー,ノストラダムス,ダニオン・ブリンクリー,B,オカルト・スピリチュアリティ,A：エドガー・ケイシー（誤り。別の宗教・概念・数値・特徴を指す。） / B：ユリ・ゲラー（正解。この設問の条件に合致する。） / C：ノストラダムス（誤り。別の宗教・概念・数値・特徴を指す。） / D：ダニオン・ブリンクリー（誤り。別の宗教・概念・数値・特徴を指す。）
106,西山茂が1970年代以降の日本の宗教状況を表現するために用いた近代合理主義の価値観による支配が終わりつつあることを示す概念はどれか,宗教の私事化,脱私事化,非合理的復権,世俗化,C,オカルト・スピリチュアリティ,A：宗教の私事化（誤り。別の宗教・概念・数値・特徴を指す。） / B：脱私事化（誤り。別の宗教・概念・数値・特徴を指す。） / C：非合理的復権（正解。この設問の条件に合致する。） / D：世俗化（誤り。別の宗教・概念・数値・特徴を指す。）
107,1995年に発生し日本のオカルトブームに終止符を打つきっかけとなった事件はどれか,阪神・淡路大震災,地下鉄サリン事件,統一教会問題,尼崎連続変死事件,B,オカルト・スピリチュアリティ,A：阪神・淡路大震災（誤り。別の宗教・概念・数値・特徴を指す。） / B：地下鉄サリン事件（正解。この設問の条件に合致する。） / C：統一教会問題（誤り。別の宗教・概念・数値・特徴を指す。） / D：尼崎連続変死事件（誤り。別の宗教・概念・数値・特徴を指す。）
108,1990年代後半から2000年代前半の日本における「スピリチュアリティ」の特徴として最も適切なものはどれか,意識変容による自己超越を目指す,「宗教」や「霊」を想起させない用語として普及した,組織宗教への帰属を重視する,科学的合理性に基づく世界観を提唱する,B,オカルト・スピリチュアリティ,A：意識変容による自己超越を目指す（誤り。別の宗教・概念・数値・特徴を指す。） / B：「宗教」や「霊」を想起させない用語として普及した（正解。この設問の条件に合致する。） / C：組織宗教への帰属を重視する（誤り。別の宗教・概念・数値・特徴を指す。） / D：科学的合理性に基づく世界観を提唱する（誤り。別の宗教・概念・数値・特徴を指す。）
109,ピーター・バーガーが『聖なる天蓋』で定義した「世俗化」の説明として最も適切なものはどれか,宗教が政治権力と結びついて国家を支配するプロセス,社会や文化のさまざまな領域が宗教の制度や象徴による支配から離れていくプロセス,宗教が消費社会において商品化されていくプロセス,宗教が科学技術の発展によって証明されていくプロセス,B,世俗化・公共宗教,A：宗教が政治権力と結びついて国家を支配するプロセス（誤り。別の宗教・概念・数値・特徴を指す。） / B：社会や文化のさまざまな領域が宗教の制度や象徴による支配から離れていくプロセス（正解。この設問の条件に合致する。） / C：宗教が消費社会において商品化されていくプロセス（誤り。別の宗教・概念・数値・特徴を指す。） / D：宗教が科学技術の発展によって証明されていくプロセス（誤り。別の宗教・概念・数値・特徴を指す。）
110,従来の世俗化理論において近代化に伴い宗教が公的領域から退き個人の内面的な信仰に限定されていく現象を何と呼ぶか,公共宗教,脱私事化,宗教の私事化,非合理的復権,C,世俗化・公共宗教,A：公共宗教（誤り。別の宗教・概念・数値・特徴を指す。） / B：脱私事化（誤り。別の宗教・概念・数値・特徴を指す。） / C：宗教の私事化（正解。この設問の条件に合致する。） / D：非合理的復権（誤り。別の宗教・概念・数値・特徴を指す。）
111,ホセ・カサノヴァが提唱した概念で1980年代以降宗教が私的領域を踏み越えて公的領域において役割を果たすことを主張し始める現象を何と呼ぶか,世俗化,宗教の私事化,脱私事化,宗教の商品化,C,世俗化・公共宗教,A：世俗化（誤り。別の宗教・概念・数値・特徴を指す。） / B：宗教の私事化（誤り。別の宗教・概念・数値・特徴を指す。） / C：脱私事化（正解。この設問の条件に合致する。） / D：宗教の商品化（誤り。別の宗教・概念・数値・特徴を指す。）
112,ジル・ケペルが『宗教の復讐』で指摘した1970年代後半に宗教が公的な場面に戻るきっかけとなった世界的出来事に含まれないものはどれか,1977年 ベギン内閣（イスラエル）,1978年 教皇ヨハネ・パウロ2世就任（バチカン）,1979年 イラン・イスラーム革命,1989年 ベルリンの壁崩壊,D,世俗化・公共宗教,A：1977年 ベギン内閣（イスラエル）（誤り。別の宗教・概念・数値・特徴を指す。） / B：1978年 教皇ヨハネ・パウロ2世就任（バチカン）（誤り。別の宗教・概念・数値・特徴を指す。） / C：1979年 イラン・イスラーム革命（誤り。別の宗教・概念・数値・特徴を指す。） / D：1989年 ベルリンの壁崩壊（正解。この設問の条件に合致する。）
113,イスラームにおいて頭と首を覆うスカーフを指しアラビア語で「覆うもの」を意味する言葉はどれか,ブルカ,ニカブ,ヒジャブ,チャドル,C,ヒジャブ・イラン・ライシテ,A：ブルカ（誤り。別の宗教・概念・数値・特徴を指す。） / B：ニカブ（誤り。別の宗教・概念・数値・特徴を指す。） / C：ヒジャブ（正解。この設問の条件に合致する。） / D：チャドル（誤り。別の宗教・概念・数値・特徴を指す。）
114,1979年のイラン・イスラーム革命を指導しイスラーム法による統治を主張したシーア派法学者は誰か,ハメネイ,ホメイニー,サダト,ナセル,B,ヒジャブ・イラン・ライシテ,A：ハメネイ（誤り。別の宗教・概念・数値・特徴を指す。） / B：ホメイニー（正解。この設問の条件に合致する。） / C：サダト（誤り。別の宗教・概念・数値・特徴を指す。） / D：ナセル（誤り。別の宗教・概念・数値・特徴を指す。）
115,イラン・イスラーム革命以前のパフラヴィー朝の政策として正しいものはどれか,ヴェール着用の義務化,脱イスラームによる西欧化政策,シーア派ウラマーの政治参加促進,イスラーム法の厳格な適用,B,ヒジャブ・イラン・ライシテ,A：ヴェール着用の義務化（誤り。別の宗教・概念・数値・特徴を指す。） / B：脱イスラームによる西欧化政策（正解。この設問の条件に合致する。） / C：シーア派ウラマーの政治参加促進（誤り。別の宗教・概念・数値・特徴を指す。） / D：イスラーム法の厳格な適用（誤り。別の宗教・概念・数値・特徴を指す。）
116,2022年にイランで発生した不適切なヒジャブの着用を理由に警察に連行された後に死亡し大規模な反政府デモのきっかけとなった女性は誰か,マララ・ユスフザイ,マフサ・アミニ,シリン・エバディ,ナスリン・ソトゥーデ,B,ヒジャブ・イラン・ライシテ,A：マララ・ユスフザイ（誤り。別の宗教・概念・数値・特徴を指す。） / B：マフサ・アミニ（正解。この設問の条件に合致する。） / C：シリン・エバディ（誤り。別の宗教・概念・数値・特徴を指す。） / D：ナスリン・ソトゥーデ（誤り。別の宗教・概念・数値・特徴を指す。）
117,フランスにおける「ライシテ」の説明として最も適切なものはどれか,国家がカトリック教会を公式に支援する制度,政治権力を宗教から自律させ宗教的自由を保障する制度,イスラーム教徒の移民を積極的に受け入れる政策,宗教教育を公立学校で義務化する制度,B,ヒジャブ・イラン・ライシテ,A：国家がカトリック教会を公式に支援する制度（誤り。別の宗教・概念・数値・特徴を指す。） / B：政治権力を宗教から自律させ宗教的自由を保障する制度（正解。この設問の条件に合致する。） / C：イスラーム教徒の移民を積極的に受け入れる政策（誤り。別の宗教・概念・数値・特徴を指す。） / D：宗教教育を公立学校で義務化する制度（誤り。別の宗教・概念・数値・特徴を指す。）
118,2004年にフランスで制定された公立学校における宗教的標章の着用を規制する法律の対象に含まれないものはどれか,大きな十字架（キリスト教）,キッパ（ユダヤ教）,ヒジャブ（イスラーム）,小さなメダル（キリスト教）,D,ヒジャブ・イラン・ライシテ,A：大きな十字架（キリスト教）（誤り。別の宗教・概念・数値・特徴を指す。） / B：キッパ（ユダヤ教）（誤り。別の宗教・概念・数値・特徴を指す。） / C：ヒジャブ（イスラーム）（誤り。別の宗教・概念・数値・特徴を指す。） / D：小さなメダル（キリスト教）（正解。この設問の条件に合致する。）
119,イランとフランスのヴェール政策の比較として正しいものはどれか,両国ともヴェールの着用を義務化している,イランは着用を義務化しフランスは公的空間での着用を制限している,両国ともヴェールの着用を禁止している,イランは着用を禁止しフランスは着用を奨励している,B,ヒジャブ・イラン・ライシテ,A：両国ともヴェールの着用を義務化している（誤り。別の宗教・概念・数値・特徴を指す。） / B：イランは着用を義務化しフランスは公的空間での着用を制限している（正解。この設問の条件に合致する。） / C：両国ともヴェールの着用を禁止している（誤り。別の宗教・概念・数値・特徴を指す。） / D：イランは着用を禁止しフランスは着用を奨励している（誤り。別の宗教・概念・数値・特徴を指す。）
120,シーア派のウラマー（イスラーム法学者）の位階制において最高権威を示す呼称はどれか,イマーム,ムフティー,大アーヤトッラー,カリフ,C,ヒジャブ・イラン・ライシテ,A：イマーム（誤り。別の宗教・概念・数値・特徴を指す。） / B：ムフティー（誤り。別の宗教・概念・数値・特徴を指す。） / C：大アーヤトッラー（正解。この設問の条件に合致する。） / D：カリフ（誤り。別の宗教・概念・数値・特徴を指す。）
121,井上順孝が提唱した「ハイパー宗教」の特徴として最も適切なものはどれか,伝統的な教団組織への帰属を重視する,さまざまな宗教伝統から要素を取り出して自由に組み合わせる,科学的合理性に基づいて宗教を否定する,国家権力と宗教が一体化する,B,ヒジャブ・イラン・ライシテ,A：伝統的な教団組織への帰属を重視する（誤り。別の宗教・概念・数値・特徴を指す。） / B：さまざまな宗教伝統から要素を取り出して自由に組み合わせる（正解。この設問の条件に合致する。） / C：科学的合理性に基づいて宗教を否定する（誤り。別の宗教・概念・数値・特徴を指す。） / D：国家権力と宗教が一体化する（誤り。別の宗教・概念・数値・特徴を指す。）
122,「カルト」という語の語源について正しいものを選びなさい,ギリシア語の「秘密」を意味する語に由来する,ラテン語の「儀礼・祭祀」を意味する語に由来する,ヘブライ語の「異端」を意味する語に由来する,英語の「崇拝」を意味する語から造られた新語である,B,カルト問題,A：ギリシア語の「秘密」を意味する語に由来する（誤り。別の宗教・概念・数値・特徴を指す。） / B：ラテン語の「儀礼・祭祀」を意味する語に由来する（正解。この設問の条件に合致する。） / C：ヘブライ語の「異端」を意味する語に由来する（誤り。別の宗教・概念・数値・特徴を指す。） / D：英語の「崇拝」を意味する語から造られた新語である（誤り。別の宗教・概念・数値・特徴を指す。）
123,1970年代以降アメリカで「破壊的カルト」という意味で「カルト」という語を広めたのは主にどのような立場の人々か,宗教学の研究者,保守的福音派のキリスト教徒,反カルト運動家や脱会カウンセラー,政府の宗教政策担当者,C,カルト問題,A：宗教学の研究者（誤り。別の宗教・概念・数値・特徴を指す。） / B：保守的福音派のキリスト教徒（誤り。別の宗教・概念・数値・特徴を指す。） / C：反カルト運動家や脱会カウンセラー（正解。この設問の条件に合致する。） / D：政府の宗教政策担当者（誤り。別の宗教・概念・数値・特徴を指す。）
